,basementsqft,bathroomcnt,bedroomcnt,calculatedbathnbr,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,propertycountylandusecode,propertyzoningdesc,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,threequarterbathnbr,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,logerror,transactiondate,year,propertylandusedesc,storydesc,typeconstructiondesc,airconditioningdesc,buildingclassdesc,heatingorsystemdesc
0,,2.0,3.0,2.0,,1684.0,1684.0,,,,,6037.0,,2.0,,,,34280990.0,-118488536.0,7528.0,,,0100,LARS,12447.0,3101.0,31817.0,96370.0,0.0,,1.0,,,1959.0,,,122754.0,360170.0,2015.0,237416.0,6735.88,,,60371066461001.0,0.0276,2016-01-01,2016,Single Family Residential,,,Central,,Central
1,,3.5,4.0,3.5,,2263.0,2263.0,,,,,6059.0,,3.0,2.0,468.0,,33668120.0,-117677556.0,3643.0,,,1,,32380.0,1286.0,,96962.0,0.0,1.0,,,,2014.0,,,346458.0,585529.0,2015.0,239071.0,10153.02,,,,-0.1684,2016-01-01,2016,Single Family Residential,,,,,
2,,3.0,2.0,3.0,,2217.0,2217.0,,,,,6037.0,,3.0,,,,34136312.0,-118175032.0,11423.0,,,0100,PSR6,47019.0,3101.0,275411.0,96293.0,0.0,,1.0,,,1940.0,,,61994.0,119906.0,2015.0,57912.0,11484.48,,,60374638003004.0,-0.004,2016-01-01,2016,Single Family Residential,,,Central,,Central
3,,2.0,2.0,2.0,,839.0,839.0,,,,,6037.0,,2.0,,,,33755800.0,-118309000.0,70859.0,,,010C,LAR3,12447.0,3101.0,54300.0,96222.0,0.0,,1.0,,,1987.0,,,171518.0,244880.0,2015.0,73362.0,3048.74,,,60372963002002.0,0.0218,2016-01-02,2016,Condominium,,,Central,,Central
4,,2.5,4.0,2.5,,2283.0,2283.0,,,,,6059.0,,2.0,2.0,598.0,,33485643.0,-117700234.0,6000.0,1.0,,122,,17686.0,1286.0,,96961.0,8.0,1.0,,,,1981.0,2.0,,169574.0,434551.0,2015.0,264977.0,5488.96,,,60590423381006.0,-0.005,2016-01-02,2016,Single Family Residential,,,,,
5,,4.0,4.0,4.0,,3067.0,3067.0,,,,,6037.0,,4.0,,,,33870089.0,-118402768.0,2708.0,,,0100,HBR3YY,29712.0,3101.0,,96109.0,0.0,,1.0,,,1982.0,,,880650.0,2447951.0,2015.0,1567301.0,27126.57,,,60376210044006.0,-0.2705,2016-01-02,2016,Single Family Residential,,,Central,,Central
6,,1.0,2.0,1.0,,1297.0,1297.0,,,,,6037.0,,1.0,,,,33899475.0,-118212720.0,6677.0,,,0100,CORH*,24174.0,3101.0,,96091.0,0.0,,1.0,,,1939.0,,,64549.0,111521.0,2015.0,46972.0,2304.97,,,60375416053007.0,0.044000000000000004,2016-01-02,2016,Single Family Residential,,,,,Floor/Wall
7,,2.5,3.0,2.5,853.0,1763.0,1763.0,,,853.0,,6111.0,1.0,2.0,2.0,0.0,,34207204.0,-119165589.0,,,,1129,,13150.0,2061.0,,97101.0,6.0,1.0,,,,1994.0,2.0,,107000.0,306000.0,2015.0,199000.0,3745.5,,,61110031002073.0,0.1638,2016-01-02,2016,Condominium,,,,,
8,,1.0,2.0,1.0,,796.0,796.0,,,,,6059.0,,1.0,1.0,0.0,,33549600.0,-117678000.0,,,,34,,25459.0,1286.0,,96987.0,0.0,,,,,1984.0,,,66834.0,210064.0,2015.0,143230.0,2172.88,,,60590423151018.0,-0.003,2016-01-02,2016,Condominium,,,,,
9,,2.0,2.0,2.0,,1260.0,1260.0,,,,,6059.0,,2.0,1.0,0.0,,33612700.0,-117742000.0,,,,34,,46098.0,1286.0,,96963.0,5.0,,,,,1977.0,1.0,,109977.0,190960.0,2015.0,80983.0,1940.26,,,60590626483015.0,0.0843,2016-01-03,2016,Condominium,,,,,
10,,2.0,2.0,2.0,,1417.0,1417.0,,,,,6037.0,,2.0,,,,34164671.0,-118477995.0,8279.0,,,0100,LARE9,12447.0,3101.0,51906.0,96426.0,0.0,,1.0,,,1954.0,,,55396.0,105954.0,2015.0,50558.0,1443.69,,,60371414003003.0,0.3825,2016-01-03,2016,Single Family Residential,,,,,Central
11,,4.0,5.0,4.0,,3080.0,3080.0,,,,,6037.0,,4.0,,,,34072220.0,-118547322.0,7052.0,,,0100,LAR1,12447.0,3101.0,19810.0,96120.0,0.0,,1.0,,,1995.0,,,559040.0,1090127.0,2015.0,531087.0,13428.94,,,60372626011017.0,-0.0161,2016-01-03,2016,Single Family Residential,,,Central,,Central
12,,2.0,3.0,2.0,,1484.0,1484.0,,,,,6037.0,,2.0,,,,34189804.0,-118339183.0,8214.0,,,0100,BUR1*,396054.0,3101.0,,96437.0,0.0,,1.0,,,1944.0,,,29551.0,70119.0,2015.0,40568.0,832.35,,,60373110001009.0,0.0344,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
13,,2.0,2.0,2.0,,1249.0,1249.0,,,,,6059.0,,2.0,,,,33670900.0,-117844000.0,,,,1,,52650.0,1286.0,273096.0,96947.0,0.0,,,,,2005.0,,,398747.0,601000.0,2015.0,202253.0,6876.7,,,60590626102096.0,0.0816,2016-01-03,2016,Condominium,,,,,
14,,2.0,2.0,2.0,,1367.0,1367.0,,,,,6059.0,1.0,2.0,2.0,400.0,,33913333.0,-117914140.0,7626.0,,,122,,17150.0,1286.0,,97035.0,6.0,,,,,1955.0,1.0,,78565.0,254817.0,2015.0,176252.0,3192.28,,,60590015031046.0,-0.045,2016-01-03,2016,Single Family Residential,,,,,
15,,2.0,3.0,2.0,,1302.0,1302.0,,,,,6059.0,1.0,2.0,2.0,471.0,,33676787.0,-117950591.0,6000.0,,,122,,25218.0,1286.0,,96964.0,5.0,,,,,1964.0,1.0,,89850.0,345023.0,2015.0,255173.0,4036.32,,,60590992162013.0,0.002,2016-01-03,2016,Single Family Residential,,,None,,Forced air
16,,2.5,3.0,2.5,981.0,1558.0,1558.0,,,981.0,,6111.0,1.0,2.0,2.0,0.0,,34176362.0,-118757591.0,5662.0,,,1128,,53655.0,2061.0,,96393.0,6.0,1.0,,,,1979.0,2.0,,168000.0,480000.0,2015.0,312000.0,6383.74,,,61110074052001.0,0.044000000000000004,2016-01-03,2016,Cluster Home,,,,,
17,,1.0,1.0,1.0,,597.0,597.0,,,,,6037.0,,1.0,,,,33776400.0,-118123000.0,147471.0,1.0,,010E,LBR4R,46298.0,3101.0,274961.0,96238.0,0.0,,1.0,,,1970.0,,,56233.0,70316.0,2015.0,14083.0,913.17,,,60375748002004.0,-0.0419,2016-01-03,2016,Condominium,,,,,Central
